user_GCA_000016605.1	11
user_GCA_000200715.1	11
user_GCA_000204585.1	11
user_GCF_000007005.1	11
user_GCF_000018465.1	11
user_GCF_000144915.1	11
user_GCF_000190315.1	11
user_GCF_000193375.1	11
user_GCF_000220175.1	11
user_GCF_000231015.2	11
user_GCF_000299365.1	11
user_GCF_000303155.1	11
user_GCF_000513855.1	11
user_GCF_000698785.1	11
user_GCF_000723185.1	11
user_GCF_000802205.1	11
user_GCF_000812185.1	11
user_GCF_000875775.1	11
user_GCF_000956175.1	11
user_GCF_002156965.1	11
user_GCF_013407145.1	11
user_GCF_013407165.1	11
user_GCF_013407185.1	11
user_GCF_030518575.1	11
user_GCF_900176435.1	11
